1459568997.382000, /muse/acc, 449.21945, 859.37634, 242.18788
1459568997.539000, /muse/acc, 457.03195, 863.2826, 242.18788
1459568997.539000, /muse/eeg, 868.5496, 618.51263, 722.14636, 778.0757
1459568997.539000, /muse/eeg/quantization, 16, 128, 128, 32
1459568997.540000, /muse/eeg, 894.8693, 618.51263, 722.14636, 778.0757
1459568997.540000, /muse/eeg, 894.8693, 829.07007, 932.70386, 778.0757
1459568997.540000, /muse/eeg, 894.8693, 829.07007, 932.70386, 778.0757
1459568997.540000, /muse/eeg, 894.8693, 618.51263, 932.70386, 778.0757
1459568997.540000, /muse/eeg, 868.5496, 618.51263, 932.70386, 778.0757
1459568997.540000, /muse/eeg, 894.8693, 407.95514, 722.14636, 830.7151
1459568997.540000, /muse/eeg, 842.2299, 618.51263, 932.70386, 778.0757
1459568997.540000, /muse/eeg, 842.2299, 618.51263, 932.70386, 778.0757
1459568997.540000, /muse/eeg, 868.5496, 407.95514, 722.14636, 830.7151
1459568997.540000, /muse/elements/alpha_relative, nan, nan, nan, nan
1459568997.540000, /muse/elements/beta_relative, nan, nan, nan, nan
1459568997.540000, /muse/elements/delta_relative, nan, nan, nan, nan
1459568997.540000, /muse/elements/gamma_relative, nan, nan, nan, nan
1459568997.540000, /muse/elements/theta_relative, nan, nan, nan, nan
1459568997.540000, /muse/elements/horseshoe, 1.0, 4.0, 4.0, 1.0
1459568997.540000, /muse/elements/is_good, 0, 0, 0, 0
1459568997.540000, /muse/elements/blink, 0
1459568997.540000, /muse/elements/jaw_clench, 1
1459568997.541000, /muse/elements/touching_forehead, 1
1459568997.541000, /muse/elements/experimental/concentration, 1.0
1459568997.541000, /muse/elements/experimental/mellow, 1.0
1459568997.541000, /muse/elements/raw_fft0, 12.79189, 17.931637, 18.003336, 21.80727, 20.996677, 15.151661, 8.02267, 3.0629537, 3.8868973, 1.9077333, 2.858261, 4.3506455, 0.71539694, 2.0067654, 4.7205844, 2.6969688, 5.7612796, 0.53245986, 2.0929527, 2.1756895, 0.7334726, 0.49168083, 2.372397, 2.736662, 2.3645864, 5.6039567, 1.6081377, 2.7114427, 0.011672157, 2.6786726, 4.727127, 6.1922083, 8.11848, -2.131915, -3.227344, 2.316842, -1.062107, -0.31368175, 5.2182307, 1.3699597, -6.0736814, -8.640993, -0.002731513, 3.4603837, 6.233516, 6.3000674, 7.012862, 7.3975563, 6.068689, 2.4174228, 3.1366224, 3.7687943, -0.51007235, 9.336459, 13.184757, 4.558879, 0.17661199, 8.094365, 3.8078666, 0.005803024, -3.267441, -6.311633, -5.0640626, -1.8573176, -4.1985207, -4.9021187, -2.406622, -5.6529427, -9.495909, -15.729014, -15.247637, -9.144199, -11.240336, -9.320266, -5.3270574, -5.4695897, -2.8264399, -1.8294969, -4.4159694, -6.3778896, -1.2991918, -2.238916, 5.8140497, 7.0029216, -3.4057183, 7.6498113, 9.762185, 4.3138437, 0.2972245, 2.7200181, -1.37396, -0.005898237, 5.343906, 1.8884158, 3.9049785, 7.5972643, 5.3860235, 1.6547331, 1.6902846, 5.2922273, 6.918262, 3.349263, 2.3473794, -2.6100628, -1.7263433, 5.5202284, 7.6514134, 4.958892, 8.039295, -0.5708653, -2.5603929, 0.99919975, 2.8537874, 4.387376, 8.318604, 2.115723, -3.8825877, 2.4947069, 1.2381278, 1.4241242, -1.6817404, -4.862391, -4.8725867, 3.3092184, 3.640615, -2.6179125, -2.7621396, -0.74504066, -7.7916555
1459568997.542000, /muse/elements/raw_fft1, 27.547182, 32.33528, 26.777962, 24.134813, 23.66532, 26.551184, 25.88361, 27.63304, 23.792553, 24.140585, 19.984165, 23.304054, 25.643963, 21.693607, 22.993292, 23.72865, 21.437117, 20.148619, 14.424467, 17.73476, 17.793657, 19.342392, 19.032112, 19.322212, 16.474329, 19.081535, 20.772255, 11.307746, 7.7811613, 13.209999, 20.038649, 24.18826, 26.475882, 18.553444, 15.040678, 15.73171, 13.918533, 13.357689, 16.377865, 15.319453, 14.78315, 14.352903, 18.565792, 23.415787, 22.284054, 21.692068, 20.804735, 23.716995, 23.283789, 19.27754, 17.91702, 20.097948, 16.936056, 26.13112, 29.681772, 20.72698, 18.28854, 26.90424, 23.066963, 17.731358, 13.873028, 15.68269, 18.095749, 18.022942, 15.933927, 11.307941, 14.461535, 13.614964, 15.628048, 11.626031, 11.036451, 7.4166517, 11.490928, 11.195055, 12.506542, 14.42855, 18.1929, 19.94466, 17.663544, 12.661206, 13.764898, 12.665936, 24.821766, 25.49718, 12.314151, 22.382034, 24.978125, 20.40492, 16.447, 18.319765, 14.811322, 17.688936, 21.875174, 20.668095, 20.822165, 25.707432, 22.197426, 17.815493, 19.690268, 21.322517, 22.949196, 16.65654, 22.051207, 19.976717, 14.970142, 21.512457, 24.164566, 20.742176, 24.81969, 18.639908, 14.913832, 15.736052, 19.407246, 22.344088, 25.856533, 19.300383, 14.028798, 18.708885, 18.610418, 18.55888, 16.502113, 12.864335, 13.045408, 19.231796, 19.5997, 11.28775, 15.791218, 17.691107, 9.68058
1459568997.542000, /muse/elements/raw_fft2, 16.90044, 20.66139, 24.633793, 22.210941, 18.26275, 22.867073, 22.98811, 22.165958, 24.936628, 19.032486, 22.16762, 19.685154, 18.475924, 20.310005, 20.161385, 21.703985, 20.28731, 18.548687, 10.363338, 10.756524, 15.773923, 19.46427, 19.205786, 14.402053, 16.449852, 14.361171, 15.548624, 6.381592, 7.4451466, 11.846486, 13.462347, 19.43111, 22.52017, 15.997278, 15.004176, 13.910282, 9.521996, 10.511483, 13.565636, 11.8213825, 11.48041, 11.103065, 12.32462, 17.564043, 19.69283, 19.944357, 18.768103, 19.887686, 17.136766, 14.604592, 15.635353, 14.741485, 12.681643, 23.253223, 26.33558, 16.6722, 15.168856, 24.011435, 20.329988, 14.809741, 10.6588955, 8.923839, 13.747821, 14.309722, 12.5226555, 10.891866, 9.4705305, 10.480639, 11.809748, 7.4182196, 3.795908, 5.0894947, 3.527002, 6.4945617, 9.371083, 11.020677, 14.503893, 16.22181, 13.236349, 4.7480354, 10.667466, 13.240765, 19.965109, 20.94275, 10.168603, 19.526878, 22.354597, 16.986715, 12.2430315, 14.341855, 9.130743, 13.902892, 18.078823, 16.973455, 14.762369, 20.727705, 17.947735, 15.289133, 16.3528, 17.12331, 17.931791, 14.1981, 17.035694, 14.749513, 11.178476, 18.414831, 20.87799, 17.288969, 22.316113, 14.90087, 10.581071, 14.842728, 17.424849, 19.03889, 22.22653, 16.012999, 10.900238, 16.847023, 14.957825, 15.381459, 12.428317, 7.181962, 7.827226, 15.907875, 15.7005415, 9.600599, 14.11946, 14.652287, 10.766626
1459568997.543000, /muse/elements/raw_fft3, 10.753846, 17.923012, 21.370598, 21.826916, 15.754395, 9.486461, 6.0311894, 10.292158, 7.291245, 0.554046, -3.5291116, -1.5875509, 6.364463, 6.443106, 9.52546, 9.210877, 9.0990095, 6.885448, 0.6855483, 2.2754254, 5.163049, 5.4976554, 4.142498, 7.398198, 4.922447, 5.500334, 5.608168, 2.198329, -1.2159622, 4.799299, 4.0208683, 9.514999, 12.885019, 2.6306486, 2.2336514, 5.999197, 0.46312633, 0.6605535, 4.916388, -1.1249971, -3.4566326, -4.16737, 0.58246386, 7.0142074, 8.669747, 7.7331204, 7.048111, 9.485953, 8.501099, 2.5353613, 5.566111, 4.0547795, 0.5436983, 11.084067, 14.854754, 5.7494154, 3.7874956, 11.473409, 6.8540955, 1.0666431, -0.52405375, -0.42822164, -2.4498057, -1.502593, -3.5443242, -2.9682744, 0.7229291, -3.7093878, -6.116088, -6.803896, -8.904025, -8.524417, -8.331057, -8.038193, -4.485765, -1.8846356, 2.2714217, 4.314303, 0.4513957, -3.5703518, 0.9536706, 1.7087842, 7.6279325, 8.301116, 0.112457216, 9.361927, 11.837322, 6.1267805, 3.0378408, 4.774459, -2.0599947, 2.6192377, 8.035683, 4.577938, 5.6344643, 10.059062, 6.308141, 1.9188645, 3.3027809, 5.0463247, 6.5015216, 3.5224428, 3.8283808, 0.3283178, -0.67771554, 7.0550466, 9.7009325, 5.7820973, 9.010154, 1.9867197, -2.2842655, -0.49850324, 4.694002, 7.1761017, 9.685483, 3.0604153, -0.53071314, 4.163618, 2.7955933, 2.7244306, 0.16935584, -3.7631223, -3.5767684, 2.9821353, 4.3149114, -2.774303, 1.6169178, 3.0109265, -4.763126
1459568997.543000, /muse/elements/low_freqs_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.543000, /muse/elements/alpha_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.543000, /muse/elements/beta_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.543000, /muse/elements/delta_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.543000, /muse/elements/gamma_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.544000, /muse/elements/theta_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.544000, /muse/elements/alpha_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.544000, /muse/elements/beta_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.544000, /muse/elements/delta_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.544000, /muse/elements/gamma_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.545000, /muse/elements/theta_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.545000, /muse/eeg, 815.9103, 829.07007, 932.70386, 778.0757
1459568997.545000, /muse/eeg, 842.2299, 618.51263, 722.14636, 830.7151
1459568997.545000, /muse/eeg, 789.5906, 1039.6276, 932.70386, 778.0757
1459568997.545000, /muse/eeg, 842.2299, 618.51263, 722.14636, 830.7151
1459568997.545000, /muse/eeg, 868.5496, 618.51263, 722.14636, 883.35443
1459568997.546000, /muse/eeg, 842.2299, 1039.6276, 932.70386, 830.7151
1459568997.546000, /muse/drlref, 1648387.1, 1648387.1
1459568997.546000, /muse/acc, 464.84448, 851.56384, 242.18788
1459568997.546000, /muse/acc, 476.56323, 851.56384, 242.18788
1459568997.546000, /muse/acc, 480.4695, 847.6576, 246.09413
1459568997.546000, /muse/eeg, 894.8693, 829.07007, 722.14636, 896.5143
1459568997.546000, /muse/eeg/quantization, 4, 128, 128, 4
1459568997.546000, /muse/eeg, 796.1705, 1460.7426, 1143.2614, 778.0757
1459568997.546000, /muse/eeg, 868.5496, 618.51263, 722.14636, 857.0347
1459568997.547000, /muse/eeg, 855.3898, 618.51263, 722.14636, 870.1946
1459568997.547000, /muse/eeg, 855.3898, 618.51263, 722.14636, 870.1946
1459568997.547000, /muse/eeg, 888.28937, 618.51263, 722.14636, 916.254
1459568997.547000, /muse/eeg, 829.07007, 1039.6276, 932.70386, 824.13513
1459568997.547000, /muse/eeg, 875.1295, 618.51263, 722.14636, 870.1946
1459568997.547000, /muse/eeg, 829.07007, 829.07007, 932.70386, 837.295
1459568997.548000, /muse/eeg, 835.65, 829.07007, 932.70386, 817.55524
1459568997.548000, /muse/eeg, 888.28937, 407.95514, 722.14636, 909.67413
1459568997.548000, /muse/eeg, 855.3898, 829.07007, 932.70386, 870.1946
1459568997.548000, /muse/eeg, 842.2299, 829.07007, 932.70386, 837.295
1459568997.548000, /muse/eeg, 868.5496, 618.51263, 722.14636, 870.1946
1459568997.548000, /muse/eeg, 829.07007, 1039.6276, 932.70386, 830.7151
1459568997.549000, /muse/eeg, 868.5496, 829.07007, 722.14636, 857.0347
1459568997.549000, /muse/elements/alpha_relative, nan, nan, nan, nan
1459568997.549000, /muse/elements/beta_relative, nan, nan, nan, nan
1459568997.549000, /muse/elements/delta_relative, nan, nan, nan, nan
